Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_postUrl,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.media.MediaRecorder_start,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_warning,Logcat_error,Logcat_debug,Logcat_total,Process_total,Category,Family
117124,26124,10992,77676,78340,31456,47946,39534,8411,373,4,15,7,4,40,42,13,51,3,0,7,0,0,0,21,0,21,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,47,61,0,2,0,0,20,20,1,2,0,0,0,0,1,0,0,0,0,0,7,0,0,11,0,0,0,2,0,0,21,21,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,10,3,1,2451824,1910,85644,1231,4,1,942,2530,1761,3873,4914,14020,190,Trojan,<unknown>
54820,9828,12216,31536,89576,12792,17437,14463,2973,58,4,5,2,2,14,27,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,12,0,0,0,0,3,0,1580,1942,2523,694,5665,12404,184,Trojan,styricka
54532,4148,10740,41048,87976,6012,26642,23256,3385,88,4,5,2,2,24,34,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,2492,1591,3150,2725,513,10471,187,Trojan,styricka
120666,42252,9884,61400,82208,46396,32618,26140,6477,28,2,8,2,4,41,39,11,44,3,0,2,0,507,265,20,0,0,0,0,0,0,7,1,121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,210,273,23,0,14,14,15,331,42,30,14,0,0,0,31,0,0,0,0,0,13,0,0,0,0,12,0,14,7,339,0,0,0,0,0,0,0,0,18,168,0,0,0,0,0,0,0,0,64,0,7,16276,123,25648,171,6,3,2939,1536,4017,1251,3958,13701,193,Trojan,lotoor
32554,2788,14216,23176,72240,2800,8926,4789,4136,0,0,4,0,2,2,22,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,0,3,0,2501,1520,2788,5750,770,13329,185,Trojan,xinyinhe
42695,4980,12676,29564,88020,4996,13292,10721,2570,9,2,8,2,2,11,31,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,14,28,7,34,0,0,32,16,46,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,34,0,14,40,1,9000,150,4,2,3485,1752,3885,2520,963,12605,187,Trojan,<unknown>
42775,596,10156,39536,49848,600,8273,6564,1708,0,0,5,0,2,12,26,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,12,19,0,0,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,24,0,0,1,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,6,0,1,520,13,1200,20,4,2,1196,2866,1520,1794,2384,9760,194,Trojan,smsagent
53244,6712,11964,33320,94620,9584,17957,14527,3429,114,7,6,3,2,20,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,813,1518,2550,2639,2485,10005,189,Trojan,styricka
119500,44060,9912,58252,79652,48232,29997,24682,5314,14,1,7,1,4,37,37,11,42,3,0,1,0,358,192,15,0,0,0,0,0,0,8,1,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,200,232,16,0,0,0,12,261,35,2,0,0,0,0,35,0,0,0,0,0,10,0,0,0,0,12,0,16,8,24,0,0,0,0,0,0,0,0,9,176,0,0,0,0,0,0,0,0,60,0,8,13900,100,22170,167,5,2,1586,4006,1190,2688,3931,13401,190,Trojan,lotoor
106375,32020,10548,62932,101696,34692,35319,27680,7638,201,4,7,4,4,31,39,9,38,3,0,1,0,58,20,1,0,0,0,0,0,0,1,0,0,4,0,0,10,0,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,20,19,0,4,33,33,46,44,51,37,0,0,4,0,5,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,4,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,16,0,1,2127,12,4566,14,4,0,2637,1516,2616,2367,667,9803,187,Trojan,autoins
64406,1632,11012,45884,90800,11232,25327,20559,4767,209,6,10,6,2,30,36,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,18,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,2319,17,2573,18,3,1,2607,662,4832,1559,2536,12196,192,Trojan,wkload
58039,5744,10864,40508,96356,9476,26692,23295,3396,82,8,6,2,2,20,31,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,1634,4917,804,3660,3009,14024,190,Trojan,styricka
90666,4552,10600,77020,101976,4868,28467,22925,5541,189,21,7,2,5,34,34,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,74,4,0,4,2,0,0,0,2,72,8,8,2,0,0,3,6,3,6,8,0,30,30,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,140,90,1,2,0,0,0,0,0,0,4,0,1,2977,24,16489,27,10,1,1513,2020,2863,633,3196,10225,189,Trojan,mytrackp
83394,5284,10568,69436,86884,5368,29681,22551,7129,156,3,10,3,5,36,33,21,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,76,5,0,5,2,0,0,0,2,74,10,10,2,0,0,5,8,4,8,4,2,45,45,6,6,5,0,4,2,0,0,0,0,0,0,0,4,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,144,92,2,4,0,0,0,0,0,0,5,0,1,4698,39,26098,62,10,1,3590,744,2023,1540,3388,11285,185,Trojan,mytrackp
72536,12032,10528,51872,89076,13832,31367,26517,4849,244,6,5,2,4,28,34,9,35,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,1,1788,8,803,8,4,0,4274,1717,494,1574,1517,9576,188,Trojan,styricka
50831,7784,12224,31516,93700,10616,17453,14512,2940,58,4,5,2,2,11,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,10,2171,6,2168,34,3,0,4727,2955,5233,1090,1804,15809,185,Trojan,styricka
61370,10016,8704,32384,82880,13724,19623,16346,3276,24,2,5,2,2,15,30,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,53453,117,8680,139,4,0,1509,2727,2727,3374,1003,11340,188,Trojan,autosms
78379,5120,10624,65216,93508,5340,27210,21665,5544,81,2,7,2,5,24,33,19,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,73,4,0,4,2,0,0,0,2,71,8,8,2,0,0,3,6,3,6,8,0,30,30,4,4,3,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,138,89,1,2,0,0,0,0,0,0,4,0,1,3022,25,16666,28,10,1,1519,2610,542,1873,3601,10145,186,Trojan,mytrackp
77090,5184,10588,63400,87016,5352,27244,21573,5670,103,3,7,2,5,23,33,19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,70,4,0,4,2,0,0,0,2,68,7,7,2,0,0,3,5,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,132,86,1,2,0,0,0,0,0,0,4,0,1,2612,20,15762,22,10,1,3458,2950,1868,587,1510,10373,184,Trojan,mytrackp
89015,7176,10444,71372,100724,8140,37407,30150,7256,92,2,7,2,5,30,34,20,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,64,4,0,4,2,0,0,0,2,62,10,10,2,0,0,3,6,4,8,3,0,30,30,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,120,80,1,2,0,0,0,0,0,0,4,0,1,3017,25,16412,28,10,1,1520,3098,1960,2881,804,10263,186,Trojan,mytrackp
75189,4440,10456,63040,92016,4596,26885,21291,5593,81,3,7,2,5,24,33,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,71,4,0,4,2,0,0,0,2,69,7,7,2,0,0,3,5,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,134,87,1,2,0,0,0,0,0,0,4,0,1,2612,20,15864,22,10,1,1515,3530,707,2758,1991,10501,186,Trojan,mytrackp
67650,2700,10940,48552,79828,11892,28781,22069,6711,239,8,11,7,2,19,35,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,10,20,0,10,0,0,12,34,1,2,0,0,2,1,0,0,0,0,1,2,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,49855,57,4040,48,3,1,674,6413,1949,2573,1594,13203,188,Trojan,wkload
68473,4312,10700,53596,78064,8004,22155,16866,5288,202,11,6,3,2,16,38,5,22,0,0,0,0,70,26,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,0,0,0,0,48,48,50,48,62,49,0,0,4,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,2127,12,4468,13,4,0,713,2827,1467,3419,2997,11423,187,Trojan,autoins
121269,5236,10608,107480,96136,5364,29902,22946,6955,138,5,9,3,5,35,34,23,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,81,5,0,5,2,0,0,0,2,79,10,10,2,0,0,5,7,4,8,8,2,45,45,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,154,99,2,4,0,0,0,0,0,0,5,0,1,3958,31,24108,42,9,1,1900,3206,715,1506,2987,10314,185,Trojan,mytrackp
80074,4540,10584,67512,91776,4756,27566,21727,5838,132,2,9,3,5,30,35,21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,77,5,0,5,2,0,0,0,2,75,7,7,2,0,0,4,5,4,8,8,2,45,45,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,146,93,2,2,0,0,0,0,0,0,5,0,1,3878,29,23948,38,9,2,1857,3254,1511,2659,623,9904,186,Trojan,mytrackp
86119,4260,10652,68824,101484,8268,24942,18644,6297,181,9,6,3,2,18,38,7,28,0,0,0,0,81,31,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,28,0,0,0,10,0,0,0,18,18,0,0,10,0,0,0,0,0,0,0,0,64,64,82,70,77,56,0,0,6,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,1,2127,12,4561,14,4,0,683,3051,1508,2924,3247,11413,186,Trojan,autoins
46688,4044,10864,34840,88360,4056,21417,18609,2807,12,2,5,2,2,11,27,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,13,0,0,0,0,3,0,1175,2328,3069,1649,4986,13207,186,Trojan,styricka
45409,5152,11088,34124,77968,5216,8351,6738,1612,131,0,5,1,2,5,26,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,561,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,34,1,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,3,1,3699,2785,1518,8099,1156,17257,187,Trojan,gappusin
82843,5336,10540,68528,89260,5536,29735,22217,7517,146,2,9,3,5,35,35,22,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,76,5,0,5,2,0,0,0,2,74,7,7,2,0,0,4,5,4,8,8,2,45,45,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,144,94,2,2,0,0,0,0,0,0,5,0,1,3918,30,24028,39,10,2,1508,1816,3424,770,2925,10443,184,Trojan,<unknown>
54603,7764,11948,35300,88368,10292,18299,14787,3511,51,4,6,2,2,25,31,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,10,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,3,0,806,6355,2820,1762,3380,15123,187,Trojan,styricka
72208,4544,10456,59024,89600,4780,24599,19825,4773,80,2,8,2,5,28,33,17,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,59,5,0,5,2,0,0,0,2,57,11,11,2,0,0,5,8,3,6,8,0,30,30,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,110,75,2,4,0,0,0,0,0,0,4,0,1,2612,20,15864,22,10,1,520,2694,1926,2715,1504,9359,188,Trojan,mytrackp
46770,2552,10700,33232,90256,6092,19852,16791,3060,68,4,5,2,2,13,29,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,720,12,3,0,2136,1560,1525,498,1596,7315,186,Trojan,gappusin
39021,4068,12540,28168,77696,4076,15640,13354,2285,8,1,5,1,2,9,26,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,9,534,4,461,5,4,0,2348,1048,9716,3842,1482,18436,189,Trojan,smsagent
71500,5548,10588,56360,93276,5784,24347,19770,4576,113,3,7,2,5,27,32,18,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,42,4,0,4,2,0,0,0,2,40,7,7,2,0,0,3,6,3,6,8,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,76,56,1,1,0,0,0,0,0,0,4,0,1,730,8,1106,10,11,1,3540,596,1518,1790,2490,9934,186,Trojan,mytrackp
49752,7552,11132,35384,87136,7568,22470,19331,3138,20,2,6,2,2,9,28,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,534,4,453,5,4,0,942,3805,2324,5805,1518,14394,187,Trojan,smsagent
99122,37308,10740,46388,107956,40848,30120,24970,5149,91,10,7,3,4,45,37,18,43,2,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,3,0,2849,3836,1715,2540,861,11801,191,Trojan,styricka
51329,7224,12064,32144,87788,10008,17540,15030,2509,33,2,4,1,2,10,26,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0,0,19,19,21,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,1801235,1275,37077,840,3,0,959,2806,1514,6025,4122,15426,185,Trojan,gappusin
103678,26368,10320,68292,67960,27948,36561,29521,7039,197,8,8,3,4,40,37,15,56,2,0,4,0,0,0,4,0,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,31,16,4,0,0,4,2,4,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,12,0,2,1,24,8,4,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0,12,0,1,5600,140,14400,240,4,2,1613,2121,1515,1446,1664,8359,188,Trojan,smsagent
121800,27372,11672,84480,80520,28616,34531,26694,7836,17,3,7,2,4,40,37,13,49,2,3,2,0,102,42,2,0,0,0,0,0,0,3,0,24,2,0,0,30,0,52,5,0,5,30,0,3,3,19,22,0,0,30,0,0,8,0,29,33,6,0,22,28,88,448,10,2,2,1,0,0,7,2,0,0,0,2,2,0,0,4,1,12,0,2,1,16,4,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,35,3,1,27163,145,22735,324,5,2,1521,1508,1216,2432,2008,8685,190,Trojan,lotoor
50124,7432,11120,35284,87592,7448,22470,19247,3222,20,2,6,2,2,10,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,534,4,453,5,4,0,3885,9022,1517,2600,1118,18142,187,Trojan,smsagent
99851,4872,11232,83244,96692,7116,62336,44603,17732,336,3,21,16,2,27,43,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,4,0,61,122,0,34,0,0,72,182,8,16,0,0,16,8,0,0,0,0,8,16,8,16,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,25,4,98089,99,4714,80,3,1,2893,1880,4634,2089,997,12493,190,Trojan,<unknown>
46414,6496,12160,27832,80860,10024,15261,12456,2804,9,1,4,1,2,8,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,4517,46,4648,64,3,0,1035,1511,4785,4075,2495,13901,187,Trojan,boogr
